model_label,model_name,condition,final_correct_rate,baseline_final_correct_rate,delta_final_correct_rate,mean_final_margin,baseline_mean_final_margin,delta_mean_final_margin,median_final_margin,baseline_median_final_margin,delta_median_final_margin,median_first_positive_layer,baseline_median_first_positive_layer,delta_median_first_positive_layer
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,ambiguous_prodrop,0.16666666666666666,0.16666666666666666,0.0,-1.1624348958333333,-0.81396484375,-0.34847005208333326,-0.8935546875,-0.52587890625,-0.36767578125,1.0,0.0,1.0
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,control_mixed_token_dinlenmek,0.6666666666666666,0.6666666666666666,0.0,0.22134060329861116,0.3250054253472223,-0.10366482204861116,0.19319661458333348,0.23193359375,-0.03873697916666652,4.0,9.0,-5.0
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,control_token_matched_yapmak,0.6666666666666666,0.5,0.16666666666666663,1.3209635416666667,-0.040364583333333336,1.361328125,1.40234375,-0.4609375,1.86328125,20.0,1.0,19.0
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,possessive_person,0.5,0.5,0.0,0.8362986246744791,0.38604736328125,0.45025126139322913,0.5087127685546875,0.12371826171875,0.3849945068359375,16.5,6.0,10.5
turkish-gpt2-medium,ytu-ce-cosmos/turkish-gpt2-medium,prior_predicate_person,0.5,0.8333333333333334,-0.33333333333333337,0.42142740885416674,0.2880859375,0.13334147135416674,0.16943359375,0.18326822916666652,-0.013834635416666519,20.0,2.0,18.0
